model,epoch,shallow_water,com_ns,incom_ns,incom_ns_arena,cfdbench,incom_ns_arena_u
bcat,0,4.967,3.910,51.433,42.777,9.611,38.000
bcat,1,3.416,4.021,48.753,43.667,6.485,37.391
bcat,2,3.176,3.853,43.217,41.006,6.743,35.106
bcat,3,2.676,3.901,37.559,38.509,5.271,33.674
bcat,4,2.576,4.149,37.367,41.154,4.831,30.247
bcat,5,2.822,4.071,26.785,36.237,3.430,28.211
bcat,6,1.955,4.016,28.860,35.378,6.028,27.778
bcat,7,1.435,3.859,33.336,33.093,3.775,23.012
bcat,8,2.089,3.796,19.905,29.675,3.582,20.634
bcat,9,1.692,3.862,22.058,27.108,4.145,21.712
bcat,10,1.224,3.940,28.533,31.673,3.192,16.950
bcat,11,1.344,3.880,15.137,22.782,2.179,14.765
bcat,12,1.162,3.690,15.684,20.273,4.450,16.545
bcat,13,0.857,3.694,24.291,27.981,3.107,12.763
bcat,14,0.903,3.738,13.830,17.822,1.714,12.018
bcat,15,0.798,3.666,14.046,18.184,2.884,15.241
bcat,16,0.712,3.656,24.083,24.234,2.292,11.699
bcat,17,1.441,3.686,15.577,18.820,1.969,11.365
bcat,18,0.629,3.717,10.928,14.730,1.716,11.554
bcat,19,1.406,3.717,19.353,32.851,3.059,10.982
bcat,20,1.135,3.689,11.548,15.352,2.451,9.780
bcat,21,0.631,3.675,10.691,15.538,2.695,11.604
bcat,22,0.589,3.695,14.175,19.119,3.325,9.815
bcat,23,0.762,3.671,9.663,13.309,1.315,8.695
bcat,24,0.556,3.656,9.114,12.429,2.315,10.228
bcat,25,0.460,3.666,12.007,18.937,1.177,8.959
bcat,26,0.618,3.678,9.520,12.910,2.225,8.556
bcat,27,0.523,3.700,8.586,13.488,2.568,11.112
bcat,28,0.477,3.666,15.223,16.167,1.659,8.871
bcat,29,1.258,3.655,8.748,14.713,2.512,8.629
bcat,30,0.484,3.679,9.146,11.162,1.520,9.182
bcat,31,0.520,3.677,16.249,24.480,2.938,8.062
bcat,32,0.508,3.699,8.123,11.478,0.918,7.484
bcat,33,0.424,3.710,7.926,11.236,1.515,8.986
bcat,34,0.361,3.719,9.251,16.324,1.294,8.716
bcat,35,0.438,3.673,7.026,9.999,0.803,7.027
bcat,36,0.367,3.717,7.900,10.742,1.625,8.560
bcat,37,0.333,3.691,9.005,12.624,0.786,7.368
bcat,38,0.481,3.705,7.326,11.420,0.845,6.904
bcat,39,0.345,3.682,6.965,9.961,1.119,7.458
bcat,40,0.317,3.704,11.527,11.707,0.790,6.860
bcat,41,0.502,3.688,6.580,9.527,0.848,6.642
bcat,42,0.345,3.771,6.921,9.567,1.315,7.214
bcat,43,0.399,3.723,7.267,12.209,1.032,6.605
bcat,44,0.443,3.766,6.591,9.431,1.145,6.471
bcat,45,0.306,3.743,6.568,8.925,1.159,7.482
bcat,46,0.311,3.770,6.831,13.365,0.948,6.667
bcat,47,0.309,3.828,5.938,8.743,0.530,6.256
bcat,48,0.263,3.769,6.361,9.136,0.829,6.797
bcat,49,0.246,3.827,6.394,9.625,0.564,6.222
bcat,50,0.312,3.810,6.126,8.614,0.648,6.266
bcat,51,0.257,3.794,5.799,8.347,0.836,6.280
bcat,52,0.252,3.811,6.556,9.040,0.528,6.139
bcat,53,0.290,3.830,5.794,8.503,0.826,6.015
bcat,54,0.299,3.840,5.788,8.610,0.583,6.307
bcat,55,0.241,3.842,6.602,8.646,0.738,5.953
bcat,56,0.236,3.837,5.654,8.076,0.441,5.979
bcat,57,0.269,3.871,5.543,8.270,0.751,6.090
bcat,58,0.226,3.854,6.008,8.378,0.470,5.891
bcat,59,0.232,3.831,5.525,8.023,0.423,5.845
bcat,60,0.231,3.856,5.427,7.942,0.569,5.915
bcat,61,0.255,3.872,5.565,8.990,0.490,5.870
bcat,62,0.218,3.879,5.548,7.727,0.472,5.804
bcat,63,0.213,3.879,5.394,7.738,0.468,5.812
bcat,64,0.218,3.883,5.384,7.712,0.447,5.771
bcat,65,0.218,3.887,5.424,7.700,0.399,5.772
bcat,66,0.215,3.873,5.455,7.718,0.427,5.795
bcat,67,0.216,3.888,5.251,7.635,0.390,5.736
bcat,68,0.212,3.894,5.310,7.643,0.403,5.740
